"key","tenkm","fifteenkm","onekm","twentykm","twokm","thirtykm","threekm","fortykm","fourkm","fivekm","all_cutoffs"
99,"1","1","1","1","1","1","1","1","1","1",1
1,"1","1","1","1","1","1","1","1","1","1",1
14,"1","1","0","1","1","1","1","1","1","1",2
7,"0","0","0","0","0","0","0","0","0","0",0
10,"1","1","0","1","0","1","1","1","1","1",2
3,"0","1","0","1","0","1","0","1","0","0",4
12,"1","1","0","1","0","1","0","1","1","1",2
22,"1","1","0","1","0","1","0","1","0","0",3
19,"1","1","0","1","1","1","1","1","1","1",2
15,"1","1","0","1","0","1","0","1","0","1",2
2,"1","1","1","1","1","1","1","1","1","1",1
6,"0","0","0","0","0","0","0","1","0","0",7
21,"0","1","0","1","0","1","0","1","0","0",4
8,"0","0","0","0","0","0","0","0","0","0",0
18,"1","1","1","1","1","1","1","1","1","1",1
44,"0","1","0","1","0","1","0","1","0","0",4
17,"1","1","1","1","1","1","1","1","1","1",1
9,"1","1","1","1","1","1","1","1","1","1",1
13,"1","1","1","1","1","1","1","1","1","1",1
20,"0","1","0","1","0","1","0","1","0","0",4
16,"1","1","0","1","0","1","0","1","0","1",2
43,"0","0","0","0","0","0","0","0","0","0",0
11,"1","1","0","1","0","1","0","1","0","0",3
100,"1","1","1","1","1","1","1","1","1","1",1
101,"1","1","0","1","1","1","1","1","1","1",2
45,"1","1","1","1","1","1","1","1","1","1",1
49,"1","1","1","1","1","1","1","1","1","1",1
54,"0","1","0","1","0","1","0","1","0","0",4
46,"0","1","0","1","0","1","0","1","0","0",4
47,"1","1","1","1","1","1","1","1","1","1",1
51,"1","1","0","1","0","1","0","1","0","0",3
48,"1","1","1","1","1","1","1","1","1","1",1
52,"1","1","1","1","1","1","1","1","1","1",1
53,"1","1","1","1","1","1","1","1","1","1",1
32,"0","0","0","1","0","1","0","1","0","0",5
26,"0","1","0","1","0","1","0","1","0","0",4
50,"1","1","1","1","1","1","1","1","1","1",1
55,"1","1","1","1","1","1","1","1","1","1",1
34,"1","1","1","1","1","1","1","1","1","1",1
38,"1","1","1","1","1","1","1","1","1","1",1
4,"1","1","1","1","1","1","1","1","1","1",1
37,"1","1","1","1","1","1","1","1","1","1",1
5,"0","0","0","0","0","0","0","1","0","0",7
42,"0","1","0","1","0","1","0","1","0","0",4
35,"0","0","0","0","0","0","0","1","0","0",7
41,"1","1","1","1","1","1","1","1","1","1",1
39,"0","0","0","0","0","1","0","1","0","0",6
103,"0","0","0","0","0","0","0","1","0","0",7
40,"0","0","0","1","0","1","0","1","0","0",5
36,"0","0","0","0","0","0","0","1","0","0",7
23,"1","1","0","1","0","1","0","1","0","0",3
24,"1","1","1","1","1","1","1","1","1","1",1
31,"0","0","0","0","0","1","0","1","0","0",6
25,"1","1","0","1","0","1","0","1","0","0",3
29,"0","1","0","1","0","1","0","1","0","0",4
30,"0","0","0","1","0","1","0","1","0","0",5
27,"1","1","1","1","1","1","1","1","1","1",1
28,"0","0","0","0","0","1","0","1","0","0",6
88,"0","0","0","0","0","0","0","0","0","0",0
90,"0","0","0","0","0","0","0","0","0","0",0
91,"0","0","0","0","0","0","0","0","0","0",0
92,"0","0","0","0","0","0","0","0","0","0",0
94,"0","0","0","0","0","0","0","0","0","0",0
96,"0","0","0","0","0","0","0","0","0","0",0
89,"0","0","0","0","0","0","0","0","0","0",0
93,"0","0","0","0","0","0","0","0","0","0",0
97,"0","0","0","0","0","0","0","0","0","0",0
98,"0","0","0","0","0","0","0","0","0","0",0
95,"0","0","0","0","0","0","0","0","0","0",0
62,"0","0","0","0","0","0","0","1","0","0",7
65,"0","0","0","0","0","0","0","1","0","0",7
67,"0","0","0","0","0","0","0","1","0","0",7
68,"0","0","0","0","0","0","0","1","0","0",7
66,"0","0","0","0","0","0","0","1","0","0",7
69,"0","0","0","0","0","0","0","1","0","0",7
64,"0","0","0","0","0","1","0","1","0","0",6
63,"1","1","0","1","0","1","0","1","0","0",3
57,"0","0","0","0","0","1","0","1","0","0",6
56,"0","0","0","0","0","1","0","1","0","0",6
102,"1","1","0","1","0","1","0","1","0","0",3
60,"1","1","0","1","0","1","0","1","0","1",2
61,"1","1","0","1","0","1","0","1","0","0",3
58,"0","0","0","0","0","1","0","1","0","0",6
59,"0","0","0","1","0","1","0","1","0","0",5
74,"1","1","1","1","1","1","1","1","1","1",1
75,"0","0","0","1","0","1","0","1","0","0",5
76,"1","1","1","1","1","1","1","1","1","1",1
70,"1","1","1","1","1","1","1","1","1","1",1
79,"1","1","1","1","1","1","1","1","1","1",1
80,"1","1","0","1","0","1","0","1","1","1",2
81,"1","1","1","1","1","1","1","1","1","1",1
78,"1","1","1","1","1","1","1","1","1","1",1
77,"1","1","0","1","0","1","0","1","0","1",2
82,"0","1","0","1","0","1","0","1","0","0",4
87,"1","1","0","1","1","1","1","1","1","1",2
71,"1","1","1","1","1","1","1","1","1","1",1
84,"1","1","0","1","0","1","0","1","1","1",2
85,"1","1","0","1","0","1","0","1","1","1",2
72,"1","1","1","1","1","1","1","1","1","1",1
73,"1","1","1","1","1","1","1","1","1","1",1
83,"1","1","1","1","1","1","1","1","1","1",1
86,"0","1","0","1","0","1","0","1","0","0",4
104,"1","1","0","1","0","1","0","1","0","0",3
105,"1","1","1","1","1","1","1","1","1","1",1
106,"1","1","1","1","1","1","1","1","1","1",1
