"","X","city","name","year","month"
"1",1,"iñapari","p.s. iñapari",2007,11
"2",2,"iberia","posta medica essalud iberia",2006,4
"3",3,"alerta","p.s. alerta",2009,3
"4",4,"mavila","p.s. mavila",2008,8
"5",5,"alegría","p.s. alegria",2009,11
"6",6,"planchon","p.s. planchon",2008,5
"7",7,"el triunfo","p.s. el triunfo",2004,NA
"8",8,"puerto maldonado","c.s. jorge chavez",1999,1
"9",9,"laberinto","p.s. laberinto",2005,11
"10",10,"alto libertad","p.s. alto libertad",2009,3
"11",11,"santa rosa","p.s. santa rosa",2009,11
"12",12,"mazuko","c.s. mazuko",2007,5
"13",13,"huepetuhe","c.s. huepethue",2009,9
